日期,股票代码,股票简称,申万一级行业代码,申万一级行业,昨日申万一级行业涨跌幅,昨日申万一级行业涨跌幅排名,竞昨成交比估算,个股热度排名昨日,竞价匹配金额_openapi
20260114,301171.SZ,易点天下,801760,传媒,0.67,4.0,0.011530797073602318,28,134294410.0
20260114,300058.SZ,蓝色光标,801760,传媒,0.67,4.0,0.00978527422595609,3,283462510.0
20260116,002264.SZ,新华都,801760,传媒,-2.7,29.0,0.03363484377644106,49,67263174.0
20260116,603881.SH,数据港,801770,通信,0.4,7.0,0.01612245716945972,46,97863453.0
20260116,300058.SZ,蓝色光标,801760,传媒,-2.7,29.0,0.013522952634143093,3,259749160.0
20260119,600550.SH,保变电气,801730,电力设备,0.76,4.0,0.017230122952971945,8,90792771.0
20260119,603993.SH,洛阳钼业,801050,有色金属,-1.04,17.0,0.00708686185781001,50,56784519.0
20260119,002130.SZ,沃尔核材,801080,电子,2.64,1.0,0.006374901270153827,28,56953320.0
20260120,002119.SZ,康强电子,801080,电子,-0.49,27.0,0.03401061663994175,17,122739321.0
20260120,002716.SZ,湖南白银,801050,有色金属,0.51,22.0,0.00939426957692361,54,50992150.0
20260120,000547.SZ,航天发展,801740,国防军工,1.48,7.0,0.00882888632158304,5,56605100.0
20260121,002546.SZ,新联电子,801730,电力设备,-1.84,27.0,0.029026185401596537,44,63671101.0
20260121,000657.SZ,中钨高新,801050,有色金属,0.27,18.0,0.011673716956419744,72,56808313.0
20260121,600550.SH,保变电气,801730,电力设备,-1.84,27.0,0.009519956038980476,9,61782876.0
20260122,002201.SZ,九鼎新材,801710,建筑材料,1.35,5.0,0.02239230644972459,43,57884414.0
20260122,002498.SZ,汉缆股份,801730,电力设备,0.21,17.0,0.02137583468715139,32,59426055.0
20260122,300136.SZ,信维通信,801080,电子,2.62,2.0,0.013466145864049777,20,197196210.0
20260123,002077.SZ,大港股份,801080,电子,0.21,21.0,0.02309451312231197,41,59010966.0
20260123,601899.SH,紫金矿业,801050,有色金属,-0.37,27.0,0.013595086967524905,60,140260440.0
20260126,601212.SH,白银有色,801050,有色金属,2.73,2.0,0.051056054016929635,12,160839580.0
20260127,002342.SZ,巨力索具,801890,机械设备,-1.55,22.0,0.01887463826601179,13,90810918.0
20260127,300118.SZ,东方日升,801730,电力设备,-1.42,21.0,0.013725948748961509,18,115990905.0
20260127,002156.SZ,通富微电,801080,电子,-2.24,28.0,0.007871093677132804,15,85701524.0
20260128,000630.SZ,铜陵有色,801050,有色金属,-0.43,14.0,0.008730178028461448,13,85370120.0
20260203,002995.SZ,天地在线,801760,传媒,-2.19,14.0,0.03757860526099473,15,65626190.0
20260203,002455.SZ,百川股份,801030,基础化工,-5.69,29.0,0.026601033692296005,35,65827224.0
20260203,002165.SZ,红宝丽,801030,基础化工,-5.69,29.0,0.020494867050466343,5,81210675.0
20260209,601138.SH,工业富联,801080,电子,-0.56,17.0,0.01972115318299115,39,147806000.0
20260209,000592.SZ,平潭发展,801010,农林牧渔,-0.21,12.0,0.01394984733643183,9,86914569.0
20260209,600519.SH,贵州茅台,801120,食品饮料,-1.86,31.0,0.010507660150562183,98,125707098.0
20260210,002361.SZ,神剑股份,801030,基础化工,1.44,17.0,0.012406167524154554,10,54949314.0
20260211,002506.SZ,协鑫集成,801730,电力设备,-0.72,26.0,0.018336456115069275,1,198620660.0
20260211,300058.SZ,蓝色光标,801760,传媒,4.27,1.0,0.009862104673518647,6,133789627.0
20260211,600884.SH,杉杉股份,801730,电力设备,-0.72,26.0,0.008707007160725134,32,51482088.0
20260212,603466.SH,风语筑,801760,传媒,-1.99,30.0,0.026814198754009873,28,58482500.0
20260212,603881.SH,数据港,801770,通信,-2.17,31.0,0.015864838423049584,24,85344999.0
20260224,603993.SH,洛阳钼业,801050,有色金属,-3.36,31.0,0.016213540089227874,49,99851135.0
20260224,600111.SH,北方稀土,801050,有色金属,-3.36,31.0,0.011741385408681432,95,78114400.0
20260225,600410.SH,华胜天成,801750,计算机,-1.81,30.0,0.008862355070929091,3,77437052.0
20260225,300017.SZ,网宿科技,801750,计算机,-1.81,30.0,0.007655797168546595,25,77374244.0
20260226,002455.SZ,百川股份,801030,基础化工,2.16,5.0,0.02441324798097503,33,62204970.0
20260226,002969.SZ,嘉美包装,801140,轻工制造,0.78,17.0,0.01926152740608854,24,51104193.0
20260227,002716.SZ,湖南白银,801050,有色金属,-0.4,15.0,0.01067001321575192,58,50524320.0
20260306,300164.SZ,通源石油,801960,石油石化,-1.81,30.0,0.016356658396128813,6,93976558.0
20260306,601975.SH,招商南油,801170,交通运输,-0.05,27.0,0.013267362540081443,37,60085978.0
20260306,002155.SZ,湖南黄金,801050,有色金属,-0.64,29.0,0.010043303973096837,80,51955248.0
20260311,000815.SZ,美利云,801750,计算机,1.3,16.0,0.029901273227833217,7,147397180.0
20260312,002969.SZ,嘉美包装,801140,轻工制造,0.19,15.0,0.019630038760279262,23,77360400.0
20260312,000657.SZ,中钨高新,801050,有色金属,-0.4,24.0,0.009691935023358196,85,57763741.0
20260325,600759.SH,洲际油气,801960,石油石化,-0.86,31.0,0.03092896972161184,14,97544704.0
20260325,300164.SZ,通源石油,801960,石油石化,-0.86,31.0,0.022986578841002196,50,64807400.0
20260325,002310.SZ,东方新能,801720,建筑装饰,3.16,9.0,0.014134831695031578,4,51978896.0
20260327,600396.SH,华电辽能,801160,公用事业,-0.36,5.0,0.06330356515345839,1,193992350.0
20260327,600666.SH,奥瑞德,801080,电子,-2.21,26.0,0.024896520842168507,5,142905840.0
20260327,002309.SZ,中利集团,801730,电力设备,-0.86,10.0,0.02286138003066148,6,97480309.0
20260401,002309.SZ,中利集团,801730,电力设备,-3.21,30.0,0.018548994278941154,3,92319084.0
20260401,002149.SZ,西部材料,801050,有色金属,-1.48,21.0,0.015617258970548211,9,86612712.0
20260401,002192.SZ,融捷股份,801050,有色金属,-1.48,21.0,0.013279423378160234,91,52687500.0
