日期,股票代码,股票简称,申万一级行业,申万一级行业开盘涨幅,申万一级行业开盘涨幅排名,竞价匹配金额_openapi,竞价未匹配金额,竞价未匹配占比,竞昨成交比估算,竞价换手率_openapi,竞价量比_openapi,竞价涨幅今日,个股热度排名昨日,昨日炸板_openapi,大单动向(ddx值)昨日
20251231,600151.SH,航天机电,电力设备,0.0012475981280135,13.0,59792904.0,3051973.0,0.05104239459585372,0.009669900654709527,0.2,0.572,0.636,23,,-10357.966
20251231,600783.SH,鲁信创投,机械设备,0.0020671042424409,9.0,104890104.0,2748700.5,0.026205527453762464,0.03661874124947892,0.6,1.708,5.249,40,1.0,-2969.562
20260105,600343.SH,航天动力,机械设备,0.0016180552649565,24.0,169435210.0,8809347.9,0.051992427666008735,0.023719960445336613,0.6,2.565,-4.636,18,,714.357
20260105,002009.SZ,天奇股份,机械设备,0.0016180552649565,24.0,63598966.0,-53314.0,-0.0008382840689579765,0.017655458744537875,0.8,0.399,2.476,16,,-805.197
20260106,002347.SZ,泰尔股份,机械设备,0.0006918164075029,11.0,57344227.0,3608728.7,0.06293098518879678,0.018041450123604603,0.8999999999999999,0.54,-5.556,12,1.0,4010.42
20260106,002565.SZ,顺灏股份,轻工制造,0.0002118523226348,15.0,76065494.0,2547370.1,0.03348916790049375,0.011135710227454488,0.4,0.54,0.282,11,,-2090.877
20260107,002600.SZ,领益智造,电子,0.0109892495842121,1.0,66582244.0,1429570.9,0.021470752773066645,0.013346166374584526,0.1,2.718,1.438,93,,-1085.891
20260108,603667.SH,五洲新春,机械设备,4.52140887108321e-06,8.0,59313323.0,358088.96,0.006037243268262006,0.009700856432485808,0.2142157471938292,,0.013,36,,-2266.435
20260108,002163.SZ,海南发展,建筑装饰,0.0014433969158809,3.0,52499200.0,29120.0,0.0005546751188589541,0.017026516183211084,0.314106593702841,,0.048,52,,-4672.797
20260109,600266.SH,城建发展,房地产,0.0003315982599818,16.0,98454605.0,-331195.63,-0.0033639424991852847,0.028450486231101985,0.6652315160054117,,5.63,29,,-5045.396
20260112,600151.SH,航天机电,电力设备,0.0006625698081472,21.0,67619223.0,7583536.8,0.11215060545726767,0.01112212322387138,0.222386676940331,,2.317,27,,-6214.303
20260112,002324.SZ,普利特,基础化工,0.0032010800923303,13.0,120278026.0,4187174.4,0.0348124635833315,0.018832149161887343,0.6795717319918764,,0.0,29,,-8174.134
20260112,300065.SZ,海兰信,国防军工,0.0213049563459444,3.0,83025598.0,382277.0,0.00460432696913547,0.013895669376951233,0.5211998143533092,,5.297,77,,-7240.184
20260113,002757.SZ,南兴股份,机械设备,0.0015730405057932,12.0,59022918.0,884297.8,0.014982278578636184,0.02152881970285687,0.7662435580890222,,1.148,26,,2516.797
20260114,601138.SH,工业富联,电子,0.0066412142119962,2.0,79169730.0,1406340.0,0.01776360737872922,0.006901180581795501,0.0066335331493728,,1.127,74,,-4777.045
20260114,002230.SZ,科大讯飞,计算机,0.0010625974117683,6.0,62033346.0,562121.76,0.009061606317350672,0.004556558184176595,0.0462543706278154,,0.608,40,,-7133.445
20260116,603881.SH,数据港,通信,0.0075988693638944,3.0,97863453.0,1153541.62,0.011787256474590163,0.01612245716945972,0.3741514558151937,,-4.636,46,,-3269.881
20260119,603993.SH,洛阳钼业,有色金属,0.0010164978883213,4.0,56784519.0,356769.0,0.006282856776509809,0.00708686185781001,0.0133996973136606,,0.083,50,,-8670.6
20260120,000547.SZ,航天发展,国防军工,0.0017637252825184,9.0,56605100.0,-1041100.0,-0.018392335672934065,0.00882888632158304,0.1228289050264944,,0.346,5,,-6718.214
20260120,002716.SZ,湖南白银,有色金属,0.005002623494664,2.0,50992150.0,-2731365.0,-0.05356442119032047,0.00939426957692361,0.1907259363955907,,2.041,54,,5797.447
20260121,000657.SZ,中钨高新,有色金属,0.0027229529850147,1.0,56808313.0,537816.82,0.009467220404872786,0.011673716956419744,0.1023772395421764,,1.372,72,,-1047.395
20260122,002498.SZ,汉缆股份,电力设备,0.0017694466202915,12.0,59426055.0,8429265.0,0.1418445999822805,0.02137583468715139,0.3307935022165471,,-5.097,32,,5428.721
20260122,002201.SZ,九鼎新材,建筑材料,0.0058105963424879,3.0,57884414.0,848874.93,0.014664999977368693,0.02239230644972459,0.7612808485091825,,0.238,43,,-6551.315
20260122,300136.SZ,信维通信,电子,0.0154665468779386,1.0,197196210.0,1455959.6,0.007383304172022373,0.013466145864049777,0.3273798209803276,,-0.355,20,,-6245.01
20260123,601899.SH,紫金矿业,有色金属,0.0161566465378173,1.0,140260440.0,684608.87,0.004880983333575739,0.013595086967524905,0.0177349932120467,,1.938,60,,4109.249
20260126,601212.SH,白银有色,有色金属,0.0263567990373043,1.0,160839580.0,23266635.0,0.14465739714067893,0.051056054016929635,0.1980042333256675,,5.786,12,,10126.188
20260128,000630.SZ,铜陵有色,有色金属,0.0096495477647315,4.0,85370120.0,146097.0,0.0017113364722926476,0.008730178028461448,0.0991114480098645,,1.845,13,,-4547.213
20260203,002455.SZ,百川股份,基础化工,0.013897254969452,5.0,65827224.0,4504668.0,0.06843168716943009,0.026601033692296005,1.2963049066296275,,4.376,35,,-7056.114
20260203,002165.SZ,红宝丽,基础化工,0.013897254969452,5.0,81210675.0,4055444.8,0.04993733644006776,0.020494867050466343,0.900080059426288,,-0.402,5,,-6871.758
20260203,002995.SZ,天地在线,传媒,0.0159900168148985,3.0,65626190.0,2974640.0,0.045327025688981795,0.03757860526099473,1.6171011825876338,,2.703,15,,-150.556
20260209,600519.SH,贵州茅台,食品饮料,0.0003855981170055,30.0,125707098.0,4992702.0,0.03971694581637705,0.010507660150562183,0.0066128698908645,,0.197,98,,-185.846
