初始资金,期末权益,期末净值,总收益率,最大回撤,交易笔数,胜率,平均单笔净收益率,收益回撤比,未平仓数量,策略名称,候选池行数,候选交易日,基线宇宙覆盖率,验证期末净值,验证期总收益率,验证期最大回撤,验证期交易笔数,验证期胜率,验证期收益回撤比,验证期交易日,总收益率增量,验证期总收益率增量,最大回撤改善
1000000.0,4223670.71,4.22367071,3.2236707100000004,-0.20035519930276657,27.0,0.6666666666666666,0.07453837037037038,16.089778160079355,0.0,"热度<=30+竞价涨幅[-2,2]",33,27,0.320388,1.48388779,0.48388779000000004,-0.10172803380130602,10,0.5,4.756680847141152,10,-1.8340587099999999,-0.23135518,0.07608697997243719
1000000.0,4161305.53,4.16130553,3.16130553,-0.17472128419425137,53.0,0.6226415094339622,0.04820615094339623,18.093419726043958,0.0,热度<=40,72,42,0.699029,1.49418037,0.49418037000000004,-0.11410694698469714,18,0.5,4.330852617293095,14,-1.8964238900000003,-0.2210626,0.05045306486392198
1000000.0,4132763.79,4.13276379,3.1327637900000003,-0.13082346288160096,38.0,0.7105263157894737,0.05464557894736841,23.94649798282165,0.0,"竞价涨幅[-1,2]",51,38,0.495146,1.3782366799999999,0.3782366799999999,-0.10172803609601289,12,0.4166666666666667,3.718116406405534,11,-1.92496563,-0.33700629000000015,0.006555243551271572
1000000.0,3812581.97,3.81258197,2.81258197,-0.18800474175886805,35.0,0.6,0.06744979999999999,14.96016506651398,0.0,竞价换手率>=0.3,47,32,0.456311,1.14920867,0.14920866999999993,-0.12063798570294748,11,0.6363636363636364,1.2368299182929279,7,-2.24514745,-0.5660343000000001,0.06373652242853867
1000000.0,3802316.19,3.80231619,2.80231619,-0.22547077363898127,58.0,0.6206896551724138,0.044568103448275866,12.428733643709432,0.0,热度<=50,79,46,0.76699,1.39662089,0.3966208899999999,-0.13951926913144874,20,0.55,2.842767830344077,15,-2.2554132300000003,-0.31862208000000014,0.10120255430865188
1000000.0,3280568.62,3.28056862,2.28056862,-0.18370431004751775,34.0,0.5588235294117647,0.05049285294117646,12.414344657510203,0.0,热度<=20,44,32,0.427184,1.5595408700000002,0.5595408700000002,-0.1837043131992422,13,0.46153846153846156,3.0458776947339983,11,-2.7771608000000003,-0.15570209999999984,0.05943609071718836
1000000.0,2634025.32,2.6340253199999997,1.6340253199999997,-0.12984939980961885,28.0,0.6428571428571429,0.056092214285714294,12.58400364110852,0.0,竞价量比>=0.8,40,25,0.38835,,,,0,,,0,-3.4237041000000006,,0.00558118047928946
1000000.0,1842435.47,1.84243547,0.8424354700000001,-0.3197772948073063,15.0,0.3333333333333333,0.050306,2.6344442950761744,0.0,DDX>=0,19,18,0.184466,1.5927515,0.5927515000000001,-0.27157952121052753,7,0.42857142857142855,2.1826075005872814,8,-4.21529395,-0.12249146999999994,0.19550907547697693
1000000.0,1823982.26,1.82398226,0.82398226,-0.12102813677241564,18.0,0.6111111111111112,0.04443938888888889,6.808187599792906,0.0,竞价量比>=1.0,29,21,0.281553,,,,0,,,0,-4.23374716,,-0.0032400825579137482
1000000.0,1707463.02,1.70746302,0.70746302,-0.13417029310871909,8.0,0.75,0.077467125,5.272873775618408,0.0,"竞价量比>=1.0+竞价涨幅[-2,2]",9,9,0.087379,,,,0,,,0,-4.350266400000001,,0.009902073778389697
