日期,市场指数收盘,市场20日新高数,市场20日新低数,市场20日高低差,市场60日新高数,市场60日新低数,市场60日高低差,市场120日新高数,市场120日新低数,市场120日高低差
2024-11-29,3326.46,523,42,481,385,4,381,363,3,360
2024-12-02,3363.98,868,16,852,666,1,665,623,1,622
2024-12-03,3378.81,668,30,638,515,0,515,491,0,491
2024-12-04,3364.65,301,182,119,238,1,237,230,0,230
2024-12-05,3368.86,526,92,434,415,3,412,401,0,401
2024-12-06,3404.08,742,27,715,537,1,536,516,0,516
2024-12-09,3402.53,726,98,628,478,0,478,455,0,455
2024-12-10,3422.66,637,59,578,452,0,452,441,0,441
2024-12-11,3432.49,1506,43,1463,794,1,793,768,0,768
2024-12-12,3461.5,1786,23,1763,896,0,896,865,0,865
2024-12-13,3391.88,493,250,243,349,5,344,339,1,338
2024-12-16,3386.33,540,450,90,372,12,360,362,4,358
2024-12-17,3361.48,159,1091,-932,90,15,75,89,5,84
2024-12-18,3382.21,270,624,-354,160,11,149,156,3,153
2024-12-19,3370.03,269,660,-391,142,20,122,137,6,131
2024-12-20,3368.07,361,367,-6,189,25,164,181,5,176
2024-12-23,3351.26,168,2306,-2138,88,58,30,84,8,76
2024-12-24,3393.53,300,739,-439,149,21,128,138,3,135
2024-12-25,3393.35,198,2339,-2141,95,105,-10,89,7,82
2024-12-26,3398.08,324,761,-437,178,94,84,170,4,166
2024-12-27,3400.14,192,253,-61,108,64,44,106,4,102
2024-12-30,3407.33,257,1048,-791,148,219,-71,143,11,132
2024-12-31,3351.76,102,2810,-2708,72,734,-662,66,16,50
2025-01-02,3262.56,73,3317,-3244,57,1193,-1136,52,28,24
2025-01-03,3211.43,59,3970,-3911,43,1803,-1760,41,43,-2
2025-01-06,3206.92,84,2536,-2452,57,1214,-1157,52,35,17
2025-01-07,3229.64,119,401,-282,89,223,-134,81,21,60
2025-01-08,3230.17,123,875,-752,86,564,-478,74,18,56
2025-01-09,3211.39,88,961,-873,63,612,-549,54,25,29
2025-01-10,3168.52,59,2663,-2604,32,1955,-1923,31,74,-43
2025-01-13,3160.76,81,1149,-1068,28,697,-669,27,44,-17
2025-01-14,3240.94,270,8,262,110,5,105,101,3,98
2025-01-15,3227.12,166,63,103,79,37,42,71,8,63
2025-01-16,3236.03,193,51,142,85,30,55,72,6,66
2025-01-17,3241.82,238,55,183,99,31,68,87,5,82
2025-01-20,3244.38,374,62,312,109,41,68,101,5,96
2025-01-21,3242.62,419,168,251,155,114,41,145,17,128
2025-01-22,3213.62,261,345,-84,101,267,-166,94,31,63
2025-01-23,3230.16,204,308,-104,66,225,-159,60,31,29
2025-01-24,3252.63,393,198,195,111,148,-37,105,29,76
2025-01-27,3250.6,332,353,-21,72,264,-192,67,25,42
2025-02-05,3229.49,740,219,521,78,138,-60,72,15,57
2025-02-06,3270.66,1841,60,1781,192,32,160,178,3,175
2025-02-07,3303.67,2108,23,2085,162,10,152,149,2,147
2025-02-10,3322.17,2586,41,2545,214,11,203,186,2,184
2025-02-11,3318.06,1026,68,958,174,36,138,155,5,150
2025-02-12,3346.39,1560,53,1507,268,23,245,213,6,207
2025-02-13,3332.48,611,95,516,121,35,86,103,8,95
2025-02-14,3346.72,826,105,721,220,39,181,163,5,158
2025-02-17,3355.83,1184,127,1057,264,55,209,213,12,201
2025-02-18,3324.49,353,481,-128,133,128,5,115,17,98
2025-02-19,3351.54,885,156,729,326,67,259,271,18,253
2025-02-20,3350.78,1097,180,917,332,81,251,259,14,245
2025-02-21,3379.11,1257,264,993,473,103,370,368,17,351
2025-02-24,3373.03,1092,191,901,364,74,290,285,19,266
2025-02-25,3346.04,760,456,304,271,180,91,210,32,178
2025-02-26,3380.21,1397,93,1304,438,36,402,324,12,312
2025-02-27,3388.06,886,121,765,315,39,276,227,10,217
