分仓策略,期末权益,期末净值,总收益率,最大回撤,交易笔数,胜率,平均单笔净收益率,收益回撤比,平均持有自然日,平均单笔分配资金,权重1,权重2,权重3
竞昨比权重_0.60_0.35_0.05,4474899.18,4.4748991799999995,3.4748991799999995,-0.24085976300304535,100,0.59,0.038906640000000006,14.42706385107613,1.98,1098000.7629,0.6,0.35,0.050000000000000044
竞昨比权重_0.60_0.30_0.10,4468904.03,4.46890403,3.46890403,-0.23868179405779855,100,0.59,0.038906640000000006,14.533592910567696,1.98,1110783.9921,0.6,0.3,0.10000000000000003
竞昨比权重_0.60_0.25_0.15,4461675.64,4.461675639999999,3.4616756399999993,-0.23646545219549908,100,0.59,0.038906640000000006,14.63924479394157,1.98,1124131.7241,0.6,0.25,0.15000000000000002
竞昨比权重_0.60_0.20_0.20,4453386.6,4.4533866,3.4533866,-0.23420661358435546,100,0.59,0.038906640000000006,14.745043050443899,1.98,1138165.3447,0.6,0.2,0.2
竞昨比权重_0.65_0.30_0.05,4347032.9,4.3470329,3.3470329000000003,-0.24430976232682933,100,0.59,0.038906640000000006,13.699955614227372,1.98,1099460.3578,0.65,0.3,0.04999999999999999
竞昨比权重_0.65_0.25_0.10,4339649.98,4.339649980000001,3.339649980000001,-0.24212185296693656,100,0.59,0.038906640000000006,13.79326128177308,1.98,1112508.6309999998,0.65,0.25,0.09999999999999998
竞昨比权重_0.65_0.20_0.15,4331022.53,4.33102253,3.3310225300000003,-0.2398919407459429,100,0.59,0.038906640000000006,13.885512450490005,1.98,1126155.4482,0.65,0.2,0.14999999999999997
竞昨比权重_0.70_0.25_0.05,4214910.87,4.21491087,3.2149108699999998,-0.2477707261027604,100,0.59,0.038906640000000006,12.975345879507364,1.98,1099995.3480999998,0.7,0.25,0.050000000000000044
竞昨比权重_0.70_0.20_0.10,4206131.76,4.20613176,3.20613176,-0.24557037760959888,100,0.59,0.038906640000000006,13.055857107883838,1.98,1113295.8825,0.7,0.2,0.10000000000000003
竞昨比权重_0.75_0.20_0.05,4079283.5,4.0792835,3.0792835,-0.25124218762987527,100,0.59,0.038906640000000006,12.256235821892842,1.98,1099690.3321000002,0.75,0.2,0.04999999999999999
竞昨比权重_0.75_0.15_0.10,4069096.87,4.06909687,3.06909687,-0.2490267245675052,100,0.59,0.038906640000000006,12.324367496421218,1.98,1113234.0351,0.75,0.15,0.1
竞昨比权重_0.80_0.15_0.05,3940843.48,3.94084348,2.94084348,-0.26471123289655885,100,0.59,0.038906640000000006,11.109628585913438,1.98,1098627.5802000002,0.8,0.15,0.04999999999999996
竞昨比权重_0.80_0.10_0.10,3929231.71,3.92923171,2.92923171,-0.2679386608985955,100,0.59,0.038906640000000006,10.932471261057028,1.98,1112408.8722,0.8,0.1,0.09999999999999995
竞昨比权重_0.85_0.10_0.05,3800227.65,3.80022765,2.80022765,-0.28469638660285523,100,0.59,0.038906640000000006,9.835838394065226,1.98,1096886.8203,0.85,0.1,0.05000000000000002
竞昨比权重_0.90_0.05_0.05,3658019.21,3.65801921,2.65801921,-0.3040499990301203,100,0.59,0.038906640000000006,8.742046434726964,1.98,1094545.0574,0.9,0.05,0.049999999999999975
竞昨比权重_0.70_0.30_0.00,3633414.93,3.6334149300000003,2.6334149300000003,-0.20790875745562387,101,0.5742574257425742,0.035532435643564356,12.666204936374927,2.0297029702970297,1015369.9526732673,0.7,0.3,5.551115123125783e-17
竞昨比权重_0.85_0.15_0.00,3594646.73,3.59464673,2.59464673,-0.27374421993425446,101,0.5742574257425742,0.035532435643564356,9.478361700653114,2.0297029702970297,1050736.8275247524,0.85,0.15,2.7755575615628914e-17
竞昨比权重_0.95_0.05_0.00,3542188.24,3.54218824,2.54218824,-0.3181193184441736,101,0.5742574257425742,0.035532435643564356,7.991304182446643,2.0297029702970297,1070789.789009901,0.95,0.05,4.163336342344337e-17
