日期,股票代码,股票简称,申万一级行业,申万一级行业开盘涨幅,竞价匹配金额_openapi,竞价未匹配金额,竞价未匹配占比,竞昨成交比估算,个股热度排名昨日
20260112,300065.SZ,海兰信,国防军工,0.0213049563459444,83025598.0,382277.0,0.00460432696913547,0.013895669376951233,77
20260113,002757.SZ,南兴股份,机械设备,0.0015730405057932,59022918.0,884297.8,0.014982278578636184,0.02152881970285687,26
20260114,601138.SH,工业富联,电子,0.0066412142119962,79169730.0,1406340.0,0.01776360737872922,0.006901180581795501,74
20260114,002230.SZ,科大讯飞,计算机,0.0010625974117683,62033346.0,562121.76,0.009061606317350672,0.004556558184176595,40
20260116,603881.SH,数据港,通信,0.0075988693638944,97863453.0,1153541.62,0.011787256474590163,0.01612245716945972,46
20260119,603993.SH,洛阳钼业,有色金属,0.0010164978883213,56784519.0,356769.0,0.006282856776509809,0.00708686185781001,50
20260120,000547.SZ,航天发展,国防军工,0.0017637252825184,56605100.0,-1041100.0,-0.018392335672934065,0.00882888632158304,5
20260120,002716.SZ,湖南白银,有色金属,0.005002623494664,50992150.0,-2731365.0,-0.05356442119032047,0.00939426957692361,54
20260121,000657.SZ,中钨高新,有色金属,0.0027229529850147,56808313.0,537816.82,0.009467220404872786,0.011673716956419744,72
20260122,002498.SZ,汉缆股份,电力设备,0.0017694466202915,59426055.0,8429265.0,0.1418445999822805,0.02137583468715139,32
20260122,002201.SZ,九鼎新材,建筑材料,0.0058105963424879,57884414.0,848874.93,0.014664999977368693,0.02239230644972459,43
20260122,300136.SZ,信维通信,电子,0.0154665468779386,197196210.0,1455959.6,0.007383304172022373,0.013466145864049777,20
20260123,601899.SH,紫金矿业,有色金属,0.0161566465378173,140260440.0,684608.87,0.004880983333575739,0.013595086967524905,60
20260126,601212.SH,白银有色,有色金属,0.0263567990373043,160839580.0,23266635.0,0.14465739714067893,0.051056054016929635,12
20260128,000630.SZ,铜陵有色,有色金属,0.0096495477647315,85370120.0,146097.0,0.0017113364722926476,0.008730178028461448,13
20260203,002455.SZ,百川股份,基础化工,0.013897254969452,65827224.0,4504668.0,0.06843168716943009,0.026601033692296005,35
20260203,002165.SZ,红宝丽,基础化工,0.013897254969452,81210675.0,4055444.8,0.04993733644006776,0.020494867050466343,5
20260203,002995.SZ,天地在线,传媒,0.0159900168148985,65626190.0,2974640.0,0.045327025688981795,0.03757860526099473,15
20260209,600519.SH,贵州茅台,食品饮料,0.0003855981170055,125707098.0,4992702.0,0.03971694581637705,0.010507660150562183,98
20260209,000592.SZ,平潭发展,农林牧渔,0.0022434964292441,86914569.0,1085983.0,0.012494832713258925,0.01394984733643183,9
20260209,601138.SH,工业富联,电子,0.0207499890735856,147806000.0,1770300.0,0.011977186311787073,0.01972115318299115,39
20260210,002361.SZ,神剑股份,基础化工,0.0005025053774203,54949314.0,-48308.4,-0.0008791447332718294,0.012406167524154554,10
20260211,300058.SZ,蓝色光标,传媒,0.0009608907556366,133789627.0,939813.5,0.007024561777124919,0.009862104673518647,6
20260212,603881.SH,数据港,通信,0.0065609389811374,85344999.0,-69328.24,-0.0008123292613782796,0.015864838423049584,24
20260224,600111.SH,北方稀土,有色金属,0.0341663182719063,78114400.0,3298400.0,0.04222524912180085,0.011741385408681432,95
20260224,603993.SH,洛阳钼业,有色金属,0.0341663182719063,99851135.0,1649829.6,0.016522892804373232,0.016213540089227874,49
20260225,600410.SH,华胜天成,计算机,0.0015933167604249,77437052.0,1738324.0,0.022448220265409897,0.008862355070929091,3
20260225,300017.SZ,网宿科技,计算机,0.0015933167604249,77374244.0,-685391.0,-0.008858128552441818,0.007655797168546595,25
20260226,002455.SZ,百川股份,基础化工,0.0044787212103054,62204970.0,5376935.0,0.08643899354022677,0.02441324798097503,33
20260226,002969.SZ,嘉美包装,轻工制造,0.0002992684968765,51104193.0,2392257.0,0.04681136438256642,0.01926152740608854,24
20260312,002969.SZ,嘉美包装,轻工制造,0.0020523005627275,77360400.0,-3920800.0,-0.050682261208576995,0.019630038760279262,23
20260325,002310.SZ,东方新能,建筑装饰,0.0057565679635638,51978896.0,315744.0,0.006074465298378019,0.014134831695031578,4
20260325,603986.SH,兆易创新,电子,0.0116945619520569,54699820.0,165090.0,0.0030181086519114686,0.0059316408534053795,62
20260325,002594.SZ,比亚迪,汽车,0.0064917475031218,74899191.0,146313.12,0.0019534672944598293,0.007622315830725967,29
20260401,002309.SZ,中利集团,电力设备,0.013991428022402,92319084.0,14647074.0,0.15865705513282605,0.018548994278941154,3
20260401,002192.SZ,融捷股份,有色金属,0.0249474835107976,52687500.0,2887500.0,0.054804270462633455,0.013279423378160234,91
20260401,002149.SZ,西部材料,有色金属,0.0249474835107976,86612712.0,821243.05,0.009481784267417928,0.015617258970548211,9
