日期,股票代码,股票简称,申万一级行业代码,申万一级行业,申万一级行业开盘涨幅,申万一级行业开盘涨幅排名,竞昨成交比估算,个股热度排名昨日,竞价匹配金额_openapi
20251208,300502.SZ,新易盛,801770,通信,0.0024221303746543,11.0,0.005242331071721254,77,70111428.0
20251219,002491.SZ,通鼎互联,801770,通信,0.0125038018316379,1.0,0.03875731348460524,39,72407780.0
20251219,001208.SZ,华菱线缆,801730,电力设备,0.0053463261011597,4.0,0.02130951819366768,15,68379258.0
20251219,300308.SZ,中际旭创,801770,通信,0.0125038018316379,1.0,0.017867203625083754,71,246601150.0
20251222,300308.SZ,中际旭创,801770,通信,0.0191708723595522,1.0,0.04209436684573604,88,540095150.0
20251222,000592.SZ,平潭发展,801010,农林牧渔,0.0011482332024594,22.0,0.026679901285515763,1,157180680.0
20251224,002792.SZ,通宇通讯,801770,通信,0.0016793184915619,5.0,0.012333059155919814,21,59178339.0
20251231,600783.SH,鲁信创投,801890,机械设备,0.0020671042424409,9.0,0.03661874124947892,40,104890104.0
20251231,603123.SH,翠微股份,801200,商贸零售,0.0036928726312028,5.0,0.03250886732066083,8,110017017.0
20251231,002149.SZ,西部材料,801050,有色金属,0.000397920713997,17.0,0.012648177850435347,38,62470332.0
20260105,600343.SH,航天动力,801890,机械设备,0.0016180552649565,24.0,0.023719960445336613,18,169435210.0
20260105,002009.SZ,天奇股份,801890,机械设备,0.0016180552649565,24.0,0.017655458744537875,16,63598966.0
20260106,002347.SZ,泰尔股份,801890,机械设备,0.0006918164075029,11.0,0.018041450123604603,12,57344227.0
20260106,002565.SZ,顺灏股份,801140,轻工制造,0.0002118523226348,15.0,0.011135710227454488,11,76065494.0
20260107,002600.SZ,领益智造,801080,电子,0.0109892495842121,1.0,0.013346166374584526,93,66582244.0
20260108,002163.SZ,海南发展,801720,建筑装饰,0.0014433969158809,3.0,0.017026516183211084,52,52499200.0
20260108,603667.SH,五洲新春,801890,机械设备,4.52140887108321e-06,8.0,0.009700856432485808,36,59313323.0
20260109,600266.SH,城建发展,801180,房地产,0.0003315982599818,16.0,0.028450486231101985,29,98454605.0
20260112,002324.SZ,普利特,801030,基础化工,0.0032010800923303,13.0,0.018832149161887343,29,120278026.0
20260112,300065.SZ,海兰信,801740,国防军工,0.0213049563459444,3.0,0.013895669376951233,77,83025598.0
20260112,600151.SH,航天机电,801730,电力设备,0.0006625698081472,21.0,0.01112212322387138,27,67619223.0
20260113,002757.SZ,南兴股份,801890,机械设备,0.0015730405057932,12.0,0.02152881970285687,26,59022918.0
20260114,601138.SH,工业富联,801080,电子,0.0066412142119962,2.0,0.006901180581795501,74,79169730.0
20260114,002230.SZ,科大讯飞,801750,计算机,0.0010625974117683,6.0,0.004556558184176595,40,62033346.0
20260116,603881.SH,数据港,801770,通信,0.0075988693638944,3.0,0.01612245716945972,46,97863453.0
20260119,603993.SH,洛阳钼业,801050,有色金属,0.0010164978883213,4.0,0.00708686185781001,50,56784519.0
20260120,002716.SZ,湖南白银,801050,有色金属,0.005002623494664,2.0,0.00939426957692361,54,50992150.0
20260120,000547.SZ,航天发展,801740,国防军工,0.0017637252825184,9.0,0.00882888632158304,5,56605100.0
20260121,000657.SZ,中钨高新,801050,有色金属,0.0027229529850147,1.0,0.011673716956419744,72,56808313.0
20260122,002201.SZ,九鼎新材,801710,建筑材料,0.0058105963424879,3.0,0.02239230644972459,43,57884414.0
20260122,002498.SZ,汉缆股份,801730,电力设备,0.0017694466202915,12.0,0.02137583468715139,32,59426055.0
20260122,300136.SZ,信维通信,801080,电子,0.0154665468779386,1.0,0.013466145864049777,20,197196210.0
20260123,601899.SH,紫金矿业,801050,有色金属,0.0161566465378173,1.0,0.013595086967524905,60,140260440.0
20260126,601212.SH,白银有色,801050,有色金属,0.0263567990373043,1.0,0.051056054016929635,12,160839580.0
20260128,000630.SZ,铜陵有色,801050,有色金属,0.0096495477647315,4.0,0.008730178028461448,13,85370120.0
20260203,002995.SZ,天地在线,801760,传媒,0.0159900168148985,3.0,0.03757860526099473,15,65626190.0
20260203,002455.SZ,百川股份,801030,基础化工,0.013897254969452,5.0,0.026601033692296005,35,65827224.0
20260203,002165.SZ,红宝丽,801030,基础化工,0.013897254969452,5.0,0.020494867050466343,5,81210675.0
20260209,601138.SH,工业富联,801080,电子,0.0207499890735856,5.0,0.01972115318299115,39,147806000.0
20260209,000592.SZ,平潭发展,801010,农林牧渔,0.0022434964292441,28.0,0.01394984733643183,9,86914569.0
20260209,600519.SH,贵州茅台,801120,食品饮料,0.0003855981170055,30.0,0.010507660150562183,98,125707098.0
20260210,002361.SZ,神剑股份,801030,基础化工,0.0005025053774203,14.0,0.012406167524154554,10,54949314.0
20260211,300058.SZ,蓝色光标,801760,传媒,0.0009608907556366,3.0,0.009862104673518647,6,133789627.0
20260212,603881.SH,数据港,801770,通信,0.0065609389811374,2.0,0.015864838423049584,24,85344999.0
20260224,603993.SH,洛阳钼业,801050,有色金属,0.0341663182719063,1.0,0.016213540089227874,49,99851135.0
20260224,600111.SH,北方稀土,801050,有色金属,0.0341663182719063,1.0,0.011741385408681432,95,78114400.0
20260225,600410.SH,华胜天成,801750,计算机,0.0015933167604249,16.0,0.008862355070929091,3,77437052.0
20260225,300017.SZ,网宿科技,801750,计算机,0.0015933167604249,16.0,0.007655797168546595,25,77374244.0
20260226,002455.SZ,百川股份,801030,基础化工,0.0044787212103054,6.0,0.02441324798097503,33,62204970.0
20260226,002969.SZ,嘉美包装,801140,轻工制造,0.0002992684968765,19.0,0.01926152740608854,24,51104193.0
20260312,002969.SZ,嘉美包装,801140,轻工制造,0.0020523005627275,5.0,0.019630038760279262,23,77360400.0
20260325,002310.SZ,东方新能,801720,建筑装饰,0.0057565679635638,10.0,0.014134831695031578,4,51978896.0
20260325,002594.SZ,比亚迪,801880,汽车,0.0064917475031218,6.0,0.007622315830725967,29,74899191.0
20260325,603986.SH,兆易创新,801080,电子,0.0116945619520569,3.0,0.0059316408534053795,62,54699820.0
20260401,002309.SZ,中利集团,801730,电力设备,0.013991428022402,17.0,0.018548994278941154,3,92319084.0
20260401,002149.SZ,西部材料,801050,有色金属,0.0249474835107976,4.0,0.015617258970548211,9,86612712.0
20260401,002192.SZ,融捷股份,801050,有色金属,0.0249474835107976,4.0,0.013279423378160234,91,52687500.0
