股票代码,基础代码,股票简称,买入日期,卖出日期,买入原价,买入执行价,卖出原价,卖出执行价,信号热度排名,分配资金,卖出回款,单笔净收益率,持有自然日
002324.SZ,002324,普利特,20260112,20260113,22.8,22.8114,21.51,21.4992,29.0,1182214.61,1112429.18,-0.059029,1
300065.SZ,300065,海兰信,20260112,20260113,24.25,24.2621,24.12,24.1079,77.0,1182214.61,1172822.71,-0.007944,1
002757.SZ,002757,南兴股份,20260113,20260114,27.31,27.3237,26.42,26.4068,26.0,1114935.72,1075799.73,-0.035102,1
300058.SZ,300058,蓝色光标,20260114,20260115,20.12,20.1301,18.41,18.4008,3.0,1142625.95,1042798.46,-0.087367,1
002519.SZ,002519,银河电子,20260114,20260115,10.39,10.3952,10.31,10.3048,17.0,1142625.95,1130883.03,-0.010277,1
300058.SZ,300058,蓝色光标,20260116,20260119,17.5,17.5087,16.91,16.9015,3.0,1083160.4,1043923.85,-0.036224,3
603881.SH,603881,数据港,20260116,20260119,36.41,36.4282,34.26,34.2429,46.0,1083160.4,1016552.8,-0.061494,3
002264.SZ,002264,新华都,20260116,20260119,10.89,10.8954,9.89,9.8851,49.0,1083160.4,981141.56,-0.094186,3
000547.SZ,000547,航天发展,20260120,20260121,29.0,29.0145,25.88,25.8671,5.0,1013872.74,902443.89,-0.109904,1
002119.SZ,002119,康强电子,20260120,20260121,23.07,23.0815,24.88,24.8676,17.0,1013872.74,1090577.95,0.075656,1
002716.SZ,002716,湖南白银,20260120,20260123,11.5,11.5057,16.44,16.4318,54.0,1013872.74,1445632.51,0.425852,3
300136.SZ,300136,信维通信,20260122,20260123,73.05,73.0865,93.5,93.4533,20.0,996510.92,1272166.45,0.276621,1
002498.SZ,002498,汉缆股份,20260122,20260123,5.4,5.4027,5.94,5.937,32.0,996510.92,1093314.82,0.097143,1
601212.SH,601212,白银有色,20260126,20260130,10.97,10.9755,13.67,13.6632,12.0,3811113.78,4736791.71,0.242889,4
002165.SZ,002165,红宝丽,20260203,20260204,12.4,12.4062,14.12,14.1129,5.0,1578930.57,1793273.5,0.135752,1
002995.SZ,002995,天地在线,20260203,20260204,36.1,36.118,33.29,33.2734,15.0,1578930.57,1452245.75,-0.080235,1
002455.SZ,002455,百川股份,20260203,20260204,9.78,9.7849,10.78,10.7746,35.0,1578930.57,1735854.92,0.099386,1
000592.SZ,000592,平潭发展,20260209,20260210,11.59,11.5958,11.1,11.0945,9.0,1660458.06,1586126.93,-0.044765,1
601138.SH,601138,工业富联,20260209,20260210,56.2,56.2281,56.07,56.042,39.0,1660458.06,1652314.21,-0.004905,1
600519.SH,600519,贵州茅台,20260209,20260210,1518.0,1518.759,1504.8,1504.0476,98.0,1660458.06,1641743.89,-0.01127,1
002506.SZ,002506,协鑫集成,20260211,20260212,5.27,5.2726,4.77,4.7676,1.0,1626728.34,1468565.37,-0.097228,1
300058.SZ,300058,蓝色光标,20260211,20260212,19.3,19.3097,20.16,20.1499,6.0,1626728.34,1694801.1,0.041846,1
600884.SH,600884,杉杉股份,20260211,20260212,15.12,15.1276,14.4,14.3928,32.0,1626728.34,1545240.99,-0.050093,1
603993.SH,603993,洛阳钼业,20260224,20260225,22.95,22.9615,23.45,23.4383,49.0,2354303.73,2399347.41,0.019132,1
600111.SH,600111,北方稀土,20260224,20260226,56.0,56.028,59.1,59.0705,95.0,2354303.73,2478177.63,0.052616,2
002969.SZ,002969,嘉美包装,20260226,20260227,25.5,25.5127,23.49,23.4783,24.0,1199673.7,1102240.75,-0.081216,1
002455.SZ,002455,百川股份,20260226,20260227,14.05,14.057,14.36,14.3528,33.0,1199673.7,1222958.56,0.019409,1
002716.SZ,002716,湖南白银,20260227,20260303,15.4,15.4077,15.67,15.6622,58.0,2478177.63,2515076.47,0.01489,4
300164.SZ,300164,通源石油,20260306,20260309,21.82,21.8309,21.14,21.1294,6.0,1613425.26,1559084.22,-0.033681,3
601975.SH,601975,招商南油,20260306,20260309,4.63,4.6323,4.32,4.3178,37.0,1613425.26,1501488.79,-0.069378,3
002155.SZ,002155,湖南黄金,20260306,20260309,36.02,36.038,36.99,36.9715,80.0,1613425.26,1652570.37,0.024262,3
000815.SZ,000815,美利云,20260311,20260312,18.17,18.1791,18.84,18.8306,7.0,4713143.38,4874242.24,0.034181,1
002310.SZ,002310,东方新能,20260325,20260326,3.68,3.6818,3.49,3.4883,4.0,1624747.41,1536858.73,-0.054094,1
600759.SH,600759,洲际油气,20260325,20260326,6.01,6.013,6.19,6.1869,14.0,1624747.41,1669062.19,0.027275,1
300164.SZ,300164,通源石油,20260325,20260326,17.0,17.0085,17.5,17.4913,50.0,1624747.41,1668189.83,0.026738,1
600396.SH,600396,华电辽能,20260327,20260330,9.23,9.2346,8.09,8.086,1.0,1624703.58,1420337.15,-0.125787,3
600666.SH,600666,奥瑞德,20260327,20260330,5.32,5.3227,6.24,6.2369,5.0,1624703.58,1900717.54,0.169886,3
002309.SZ,002309,中利集团,20260327,20260331,4.53,4.5323,4.94,4.9375,6.0,1624703.58,1767149.82,0.087675,4
002149.SZ,002149,西部材料,20260401,20260402,51.55,51.5758,49.15,49.1254,9.0,1696068.17,1612904.46,-0.049033,1
002192.SZ,002192,融捷股份,20260401,20260402,75.0,75.0375,72.32,72.2838,91.0,1696068.17,1631214.02,-0.038238,1
002309.SZ,002309,中利集团,20260401,20260403,4.74,4.7424,5.03,5.0275,3.0,1696068.17,1795161.12,0.058425,2
