日期,股票代码,股票简称,申万一级行业代码,申万一级行业,申万一级行业开盘涨幅,申万一级行业开盘涨幅排名,竞昨成交比估算,竞价涨幅今日,量比,昨日前日成交量比,个股热度排名昨日,大单动向(ddx值)昨日,连续涨停天数昨日,竞价匹配金额_openapi
20260112,600151.SH,航天机电,801730,电力设备,0.0006625698081472,21.0,0.01112212322387138,2.317,1.0483770616565489,1.0483770616565489,27,-6214.303,0,67619223.0
20260113,002757.SZ,南兴股份,801890,机械设备,0.0015730405057932,12.0,0.02152881970285687,1.148,0.8278171971168441,0.8278171971168441,26,2516.797,0,59022918.0
20260114,002230.SZ,科大讯飞,801750,计算机,0.0010625974117683,6.0,0.004556558184176595,0.608,1.1190854480560606,1.1190854480560606,40,-7133.445,0,62033346.0
20260114,601138.SH,工业富联,801080,电子,0.0066412142119962,2.0,0.006901180581795501,1.127,0.9144879664442606,0.9144879664442606,74,-4777.045,0,79169730.0
20260116,603881.SH,数据港,801770,通信,0.0075988693638944,3.0,0.01612245716945972,-4.636,1.2563513380732136,1.2563513380732136,46,-3269.881,0,97863453.0
20260119,603993.SH,洛阳钼业,801050,有色金属,0.0010164978883213,4.0,0.00708686185781001,0.083,1.08123944645068,1.08123944645068,50,-8670.6,0,56784519.0
20260120,002716.SZ,湖南白银,801050,有色金属,0.005002623494664,2.0,0.00939426957692361,2.041,1.014558793495776,1.014558793495776,54,5797.447,0,50992150.0
20260120,000547.SZ,航天发展,801740,国防军工,0.0017637252825184,9.0,0.00882888632158304,0.346,0.8341257744409095,0.8341257744409095,5,-6718.214,0,56605100.0
20260121,000657.SZ,中钨高新,801050,有色金属,0.0027229529850147,1.0,0.011673716956419744,1.372,1.428736967301385,1.428736967301385,72,-1047.395,0,56808313.0
20260122,002498.SZ,汉缆股份,801730,电力设备,0.0017694466202915,12.0,0.02137583468715139,-5.097,26.91784898232942,26.91784898232942,32,5428.721,0,59426055.0
20260122,300136.SZ,信维通信,801080,电子,0.0154665468779386,1.0,0.013466145864049777,-0.355,1.139743596480824,1.139743596480824,20,-6245.01,0,197196210.0
20260122,002201.SZ,九鼎新材,801710,建筑材料,0.0058105963424879,3.0,0.02239230644972459,0.238,1.059045088136482,1.059045088136482,43,-6551.315,0,57884414.0
20260123,601899.SH,紫金矿业,801050,有色金属,0.0161566465378173,1.0,0.013595086967524905,1.938,0.703938758100032,0.703938758100032,60,4109.249,0,140260440.0
20260126,601212.SH,白银有色,801050,有色金属,0.0263567990373043,1.0,0.051056054016929635,5.786,0.4925174440637661,0.4925174440637661,12,10126.188,4,160839580.0
20260128,000630.SZ,铜陵有色,801050,有色金属,0.0096495477647315,4.0,0.008730178028461448,1.845,1.1542711374568249,1.1542711374568249,13,-4547.213,0,85370120.0
20260203,002455.SZ,百川股份,801030,基础化工,0.013897254969452,5.0,0.026601033692296005,4.376,2.2336385899301057,2.2336385899301057,35,-7056.114,0,65827224.0
20260203,002165.SZ,红宝丽,801030,基础化工,0.013897254969452,5.0,0.020494867050466343,-0.402,1.2054999692556156,1.2054999692556156,5,-6871.758,0,81210675.0
20260203,002995.SZ,天地在线,801760,传媒,0.0159900168148985,3.0,0.03757860526099473,2.703,0.8682665997827356,0.8682665997827356,15,-150.556,0,65626190.0
20260209,000592.SZ,平潭发展,801010,农林牧渔,0.0022434964292441,28.0,0.01394984733643183,-0.258,2.2822182259539563,2.2822182259539563,9,-13540.122,0,86914569.0
20260209,601138.SH,工业富联,801080,电子,0.0207499890735856,5.0,0.01972115318299115,3.309,0.9541959731925151,0.9541959731925153,39,1361.267,0,147806000.0
20260209,600519.SH,贵州茅台,801120,食品饮料,0.0003855981170055,30.0,0.010507660150562183,0.197,0.8618535092925621,0.8618535092925621,98,-185.846,0,125707098.0
20260210,002361.SZ,神剑股份,801030,基础化工,0.0005025053774203,14.0,0.012406167524154554,-0.201,0.965589694186708,0.965589694186708,10,-7737.196,0,54949314.0
20260211,300058.SZ,蓝色光标,801760,传媒,0.0009608907556366,3.0,0.009862104673518647,-1.631,1.0412509007579092,1.0412509007579092,6,-21340.706,0,133789627.0
20260212,603881.SH,数据港,801770,通信,0.0065609389811374,2.0,0.015864838423049584,4.738,0.822823300137085,0.822823300137085,24,-1363.227,0,85344999.0
20260224,603993.SH,洛阳钼业,801050,有色金属,0.0341663182719063,1.0,0.016213540089227874,4.413,1.277427554497617,1.277427554497617,49,-8366.677,0,99851135.0
20260224,600111.SH,北方稀土,801050,有色金属,0.0341663182719063,1.0,0.011741385408681432,2.302,0.8145029337148404,0.8145029337148404,95,-3850.34,0,78114400.0
20260225,600410.SH,华胜天成,801750,计算机,0.0015933167604249,16.0,0.008862355070929091,0.755,1.603156152210447,1.603156152210447,3,-10951.179,0,77437052.0
20260225,300017.SZ,网宿科技,801750,计算机,0.0015933167604249,16.0,0.007655797168546595,2.723,0.9535426278812684,0.9535426278812684,25,0.0,0,77374244.0
20260226,002455.SZ,百川股份,801030,基础化工,0.0044787212103054,6.0,0.02441324798097503,-1.886,1.2137748536946773,1.2137748536946773,33,-4540.335,0,62204970.0
20260226,002969.SZ,嘉美包装,801140,轻工制造,0.0002992684968765,19.0,0.01926152740608854,-3.409,1.0790870281897986,1.0790870281897986,24,-3124.384,0,51104193.0
20260312,002969.SZ,嘉美包装,801140,轻工制造,0.0020523005627275,5.0,0.019630038760279262,3.052,3.230473840841521,3.230473840841521,23,-2202.819,0,77360400.0
20260325,603986.SH,兆易创新,801080,电子,0.0116945619520569,3.0,0.0059316408534053795,0.526,1.1941319884025736,1.1941319884025736,62,666.81,0,54699820.0
20260325,002310.SZ,东方新能,801720,建筑装饰,0.0057565679635638,10.0,0.014134831695031578,-2.902,1.1387942979429255,1.1387942979429257,4,9951.631,0,51978896.0
20260325,002594.SZ,比亚迪,801880,汽车,0.0064917475031218,6.0,0.007622315830725967,0.075,0.5169561508783515,0.5169561508783515,29,-44.258,0,74899191.0
20260401,002309.SZ,中利集团,801730,电力设备,0.013991428022402,17.0,0.018548994278941154,-4.049,1.151287956342105,1.151287956342105,3,13551.083,0,92319084.0
20260401,002149.SZ,西部材料,801050,有色金属,0.0249474835107976,4.0,0.015617258970548211,0.019,1.0028065091575982,1.0028065091575982,9,-2916.113,0,86612712.0
20260401,002192.SZ,融捷股份,801050,有色金属,0.0249474835107976,4.0,0.013279423378160234,-1.678,0.8250774444396909,0.8250774444396909,91,-1406.297,0,52687500.0
