日期,股票代码,股票简称,申万一级行业代码,申万一级行业,申万一级行业开盘涨幅,申万一级行业开盘涨幅排名,竞价匹配金额_openapi,竞价未匹配金额,竞价未匹配占比,竞昨成交比估算,个股热度排名昨日,竞价涨幅今日,开盘价:不复权今日,收盘价:不复权今日,实体涨跌幅昨日,实体涨跌幅前日,成交量昨日,成交量前日,市场20日高低差
20251231,600151.SH,航天机电,801730,电力设备,0.0012475981280135,13.0,59792904.0,3051973.0,0.05104239459585372,0.009669900654709527,23,0.636,17.41,17.55,-6.839,11.524,357422781.0,319699684.0,101
20251231,600783.SH,鲁信创投,801890,机械设备,0.0020671042424409,9.0,104890104.0,2748700.5,0.026205527453762464,0.03661874124947892,40,5.249,23.66,24.73,-11.947,0.0,127419044.0,2234434.0,101
20251231,603123.SH,翠微股份,801200,商贸零售,0.0036928726312028,5.0,110017017.0,493978.45,0.004490018575944483,0.03250886732066083,8,-4.701,15.61,16.81,-3.59,11.088,206606256.0,156618590.0,101
20260105,600343.SH,航天动力,801890,机械设备,0.0016180552649565,24.0,169435210.0,8809347.9,0.051992427666008735,0.023719960445336613,18,-4.636,46.7,45.69,2.234,7.711,145867078.0,151078850.0,1001
20260105,002009.SZ,天奇股份,801890,机械设备,0.0016180552649565,24.0,63598966.0,-53314.0,-0.0008382840689579765,0.017655458744537875,16,2.476,23.18,22.21,-8.31,7.625,159250125.0,105154399.0,1001
20260106,002347.SZ,泰尔股份,801890,机械设备,0.0006918164075029,11.0,57344227.0,3608728.7,0.06293098518879678,0.018041450123604603,12,-5.556,12.41,13.42,-0.379,3.512,241891636.0,40546367.0,1388
20260106,002565.SZ,顺灏股份,801140,轻工制造,0.0002118523226348,15.0,76065494.0,2547370.1,0.03348916790049375,0.011135710227454488,11,0.282,17.76,18.44,-8.617,5.043,385700138.0,211366123.0,1388
20260107,002600.SZ,领益智造,801080,电子,0.0109892495842121,1.0,66582244.0,1429570.9,0.021470752773066645,0.013346166374584526,93,1.438,16.23,16.17,-0.559,2.181,311805701.0,290102496.0,999
20260108,603667.SH,五洲新春,801890,机械设备,4.52140887108321e-06,8.0,59313323.0,358088.96,0.006037243268262006,0.009700856432485808,36,0.013,75.61,75.94,0.84,4.069,80875950.0,84285245.0,1455
20260108,002163.SZ,海南发展,801720,建筑装饰,0.0014433969158809,3.0,52499200.0,29120.0,0.0005546751188589541,0.017026516183211084,52,0.048,20.8,20.16,-0.048,7.346,148310523.0,192917594.0,1455
20260109,600266.SH,城建发展,801180,房地产,0.0003315982599818,16.0,98454605.0,-331195.63,-0.0033639424991852847,0.028450486231101985,29,5.63,7.13,6.82,-3.709,0.0,512677303.0,239203689.0,2008
