日期,股票代码,股票简称,开盘价:不复权今日,收盘价:不复权今日,开盘价:不复权明日,收盘价:不复权明日,涨跌幅:前复权今日,涨跌幅:前复权昨日,开盘收益率,收益率,量比,个股热度排名昨日,连续涨停天数昨日,竞价涨幅今日,实体涨跌幅今日,实体涨跌幅昨日,实体涨跌幅前日,成交量昨日,成交量前日,换手率昨日,个股热度昨日,个股热度前日,大单动向(ddx值)昨日,最低价:不复权今日,开盘后最大跌幅,基础代码,竞价强度,竞价匹配金额_openapi,竞价未匹配金额,竞价换手率_openapi,竞价量比_openapi,昨日涨停_openapi,昨日炸板_openapi,连续涨停天数_openapi,个股热度排名_openapi,集合竞价评级_unifiedwap,昨收估算,昨日成交额估算,竞昨成交比估算,昨日前日成交量比,industry_code,申万一级行业代码,申万一级行业,申万一级行业开盘涨幅,申万一级行业开盘涨幅排名,市场指数收盘,市场20日新高数,市场20日新低数,市场20日高低差,市场60日新高数,市场60日新低数,市场60日高低差,市场120日新高数,市场120日新低数,市场120日高低差,一级行业候选数,竞价未匹配占比
20251029,000063.SZ,中兴通讯,45.45,46.2,45.61,44.83,-6.45879733,-3.76071707,0.0035203520352034,-0.013641364,0.946250342020155,49,0,-7.977,1.65,-2.004,1.624,196055252.0,207191737.0,4.868083,9834086.5,8716581.0,-2856.693,44.59,-0.018921892,000063,8.142111493520982,607920290.0,9413422.2,0.3,10.528,,,0.0,,,49.389826456429375,9683134872.151527,0.06278135108376573,0.946250342020155,730204,801770,通信,0.0140959866803476,1.0,4016.33,583,254,329,309,129,180,282,37,245,1,0.015484632368496861
20251029,601138.SH,工业富联,78.12,80.8,80.0,77.97,9.20394648,1.69048928,0.0240655401945723,-0.001920123,0.8634402822195756,6,0,5.582,3.431,3.948,5.053,202804199.0,234879242.0,1.021262,22453347.5,29336814.5,1679.27,77.9,-0.00281618,601138,10.30741695259759,386232550.0,3375330.8,0.0,3.198,,,0.0,,,73.98988463942717,15005459288.401432,0.025739468721130115,0.8634402822195756,270504,801080,电子,0.004899089563946,3.0,4016.33,583,254,329,309,129,180,282,37,245,1,0.008739115333495326
20251031,002709.SZ,天赐材料,41.77,39.87,40.68,40.31,-2.61358085,4.97435897,-0.026095284,-0.034953316,1.248600615146684,10,0,2.027,-4.549,4.492,5.835,169658367.0,135878811.0,12.250433,20673828.0,13562610.5,1715.265,39.87,-0.045487192,002709,8.940065879069488,64601482.0,5513640.0,0.1,2.565,,,0.0,,,40.9401432954022,6945837856.243937,0.00930074720099127,1.248600615146684,630702,801730,电力设备,9.043913975070872e-05,15.0,3954.79,614,194,420,240,65,175,213,21,192,2,0.08534850640113797
20251031,000620.SZ,盈新发展,2.76,2.48,2.45,2.73,-10.14492754,-9.21052632,-0.112318841,-0.010869565,0.8312347817760072,20,0,0.0,-10.145,-10.968,-6.462,897907974.0,1080209820.0,19.219954,15857117.5,18087380.0,-27535.844,2.48,-0.101449275,000620,9.543080109040424,88335456.0,1871004.0,0.7000000000000001,0.961,,,0.0,,,2.76,2478226008.24,0.03564463277614238,0.8312347817760072,430101,801180,房地产,0.001425869716491,9.0,3954.79,614,194,420,240,65,175,213,21,192,1,0.02118066838303297
20251031,300274.SZ,阳光电源,195.59,189.8,193.07,199.47,-2.50667762,1.66588334,-0.012884094,0.0198374150007668,0.8753163433156773,12,0,0.467,-2.96,-0.113,12.648,127175347.0,145290726.0,7.999911,19279865.5,36234914.5,-2502.471,187.49,-0.04141316,300274,8.963542043066546,225262960.0,604373.1,0.1,0.996,,,0.0,,,194.68084047498184,24758603441.65746,0.009098371018010854,0.8753163433156773,630503,801730,电力设备,9.043913975070872e-05,15.0,3954.79,614,194,420,240,65,175,213,21,192,2,0.0026829670532607756
20251103,300438.SZ,鹏辉能源,49.61,51.05,51.2,49.25,2.03877673,2.96357275,0.0320499899213868,-0.007256601,2.0927832821371304,83,0,-0.84,2.903,2.04,6.791,117928091.0,56349882.0,29.178259,6611797.5,10040359.0,-1617.468,48.71,-0.018141504,300438,8.438840455130489,67162018.0,64493.0,0.3,1.216,,,0.0,,,50.03025413473174,5899972362.353771,0.011383446205365947,2.0927832821371304,630701,801730,电力设备,0.0016547405215725,12.0,3976.52,974,268,706,381,87,294,331,30,301,2,0.0009602600088639386
20251103,002709.SZ,天赐材料,40.68,40.31,40.91,39.56,1.10358666,-2.61358085,0.0056538839724679,-0.027531957,1.2847858131276249,7,0,2.032,-0.91,-4.549,4.492,217974663.0,169658367.0,15.739183,21829708.5,20673828.0,-7265.822,38.75,-0.047443461,002709,9.001681946666881,72170388.0,-54836.64,0.1,2.25,,,0.0,,,39.8698447545868,8690615974.243376,0.008304404223347737,1.2847858131276249,630702,801730,电力设备,0.0016547405215725,12.0,3976.52,974,268,706,381,87,294,331,30,301,2,-0.0007598218815173891
20251106,603686.SH,福龙马,34.0,30.87,29.9,31.9,-10.0,2.47983269,-0.120588235,-0.061764706,1.5068143104787513,2,0,-0.875,-9.206,0.853,11.567,189081875.0,125484523.0,45.514693,41469105.5,32612284.5,-151.046,30.87,-0.092058824,603686,8.54073778895031,76162346.0,990454.0,0.5,0.59,,,0.0,,,34.30012610340479,6485532156.368222,0.01174342276989796,1.5068143104787513,760104,801970,环保,0.0002896004005321,18.0,4007.76,812,168,644,403,85,318,362,32,330,1,0.013004510128929064
20251106,600745.SH,闻泰科技,41.4,41.02,40.53,45.0,-4.7818013,-3.90363596,-0.021014493,0.0869565217391304,0.5600651363030491,47,0,-3.9,-0.918,-0.462,2.142,67932861.0,121294572.0,5.45805,9484097.0,15983930.5,-1934.2,40.4,-0.024154589,600745,8.425313761514364,95364900.0,-156781.8,0.2,2.743,,,0.0,,,43.08012486992716,2926556134.651405,0.03258604845157338,0.5600651363030491,270102,801080,电子,0.009585704191305,2.0,4007.76,812,168,644,403,85,318,362,32,330,1,-0.0016440199696114606
20251107,002320.SZ,海峡股份,15.17,14.84,14.57,14.6,4.36005626,-7.66233766,-0.039551747,-0.03757416,2.8618617784591214,74,0,6.681,-2.175,-12.438,8.757,185685883.0,64882897.0,8.309976,7640628.5,7824154.5,-5228.598,14.2,-0.063941991,002320,9.730097654090358,64494906.0,9241912.9,0.2,3.253,,,0.0,,,14.219964192311657,2640446607.277772,0.024425756545212812,2.8618617784591214,421101,801170,交通运输,0.001813275956308,1.0,3997.56,828,438,390,399,210,189,351,50,301,1,0.1432967884316321
