日期,股票代码,股票简称,开盘价:不复权今日,收盘价:不复权今日,开盘价:不复权明日,收盘价:不复权明日,涨跌幅:前复权今日,涨跌幅:前复权昨日,开盘收益率,收益率,量比,个股热度排名昨日,连续涨停天数昨日,竞价涨幅今日,实体涨跌幅今日,实体涨跌幅昨日,实体涨跌幅前日,成交量昨日,成交量前日,换手率昨日,个股热度昨日,个股热度前日,大单动向(ddx值)昨日,最低价:不复权今日,开盘后最大跌幅
20240522,603823.SH,百合花,14.0,12.79,12.05,11.52,-8.64285714,-6.72884744,-0.139285714,-0.177142857,0.9510907842423376,52,0,0.0,-8.737,-7.973,7.681,47680087.0,50132004.0,11.600105,3814804.5,4111551.0,-681.144,12.6,-0.1
20240522,002037.SZ,保利联合,7.6,7.75,7.39,7.26,3.19573901,-5.296343,-0.027631579,-0.044736842,1.5383561891778743,57,0,1.198,1.974,-6.592,9.986,70713982.0,45967236.0,14.613842,3546175.5,3872125.5,-1991.371,7.6,0.0
20240523,300162.SZ,雷曼光电,10.05,10.13,9.86,9.07,-5.94243268,19.93318486,-0.018905473,-0.097512438,1.004372517658173,10,0,-6.685,0.796,20.067,25.77,108424016.0,107951994.0,40.044506,10548338.5,9740861.5,3574.199,9.51,-0.053731343
20240523,000628.SZ,高新发展,51.84,56.14,55.77,53.6,8.29475309,-0.57537399,0.0758101851851851,0.0339506172839505,0.6786041577718673,18,0,0.0,8.319,1.532,-1.291,45546467.0,67117872.0,23.712973,8098529.0,11947252.0,-860.322,51.83,-0.000192901
20240523,000737.SZ,北方铜业,11.54,11.42,11.43,11.88,-7.82889427,-2.97572435,-0.009532062,0.0294627383015599,0.565398435447932,26,0,-6.86,-1.049,-0.727,-5.659,129432723.0,228923030.0,17.821423,6902985.0,15198148.0,-1792.145,11.23,-0.026863085
20240523,300542.SZ,新晨科技,17.77,16.52,16.15,16.34,-4.12071967,5.25351252,-0.091164885,-0.080472707,1.2074719785776138,55,0,3.134,-7.04,6.429,3.742,61670483.0,51074049.0,25.262248,4422718.5,3082193.0,2007.597,16.28,-0.083849184
20240523,601138.SH,工业富联,26.0,25.62,25.2,24.15,0.74714904,-1.12752722,-0.030769231,-0.071153846,0.883413244314457,65,0,2.241,-1.495,-1.035,-0.868,98684188.0,111707843.0,0.497525,4038273.0,4393714.5,-932.836,24.44,-0.06
20240523,600649.SH,城投控股,4.44,4.43,4.38,4.29,-6.1440678,0.63965885,-0.013513514,-0.033783784,1.0540886857185447,67,0,-5.932,-0.228,-4.115,-5.317,299036636.0,283692103.0,11.821612,3905302.0,3146291.5,-4530.858,4.34,-0.022522523
20240523,300719.SZ,安达维尔,25.2,23.14,22.49,20.8,-4.06301824,3.5193133,-0.107539683,-0.174603175,1.0881532688526598,69,0,4.478,-8.24,4.637,-2.737,44172126.0,40593662.0,24.591968,3863720.0,2984851.0,242.704,23.01,-0.086904762
20240523,002827.SZ,高争民爆,24.2,23.54,23.33,23.39,-4.34782609,-2.18600954,-0.035950413,-0.033471074,0.8079644631272492,94,0,-1.666,-2.752,-1.574,-0.36,35651966.0,44125661.0,12.917431,3062147.0,5551506.0,-1072.771,23.3,-0.037190083
20240524,600714.SH,金瑞矿业,9.96,9.95,9.2,8.97,-9.95475113,-1.42729706,-0.076305221,-0.09939759,19.432652268701457,26,0,-9.864,-0.101,-7.595,0.0,57046494.0,2935600.0,19.795694,6509175.5,5181678.5,-560.889,9.95,-0.001004016
20240524,002246.SZ,北化股份,11.03,10.51,10.62,11.56,-4.71441523,9.97008973,-0.037171351,0.0480507706255667,1.462860273195012,36,1,0.0,-4.745,12.873,0.606,94341967.0,64491441.0,17.18324,5705807.5,2167100.0,3144.732,10.37,-0.059836809
20240524,300719.SZ,安达维尔,22.49,20.8,20.9,20.9,-10.11235955,-4.06301824,-0.070698088,-0.070698088,1.1516291744707965,47,0,-2.809,-7.582,-8.24,4.637,50869909.0,44172126.0,28.320828,4934870.5,3863720.0,-1544.68,20.31,-0.09693197
20240524,300175.SZ,ST朗源,10.76,10.67,10.71,11.1,-3.0,-8.33333333,-0.00464684,0.0315985130111524,1.333320639323384,66,0,-2.182,-0.836,-10.277,-5.809,122331250.0,91749311.0,25.983697,3962555.0,4220831.0,-2409.555,10.33,-0.039962825
20240524,301091.SZ,深城交,29.62,27.4,27.11,26.9,-10.92327698,1.68595041,-0.084740041,-0.091829845,2.20903515206054,83,0,-3.706,-7.495,-4.768,3.256,29869809.0,13521654.0,15.503897,3177568.0,1315828.5,-816.585,27.3,-0.078325456
20240524,300397.SZ,天和防务,11.08,10.83,10.66,10.63,-5.0832603,-2.06008584,-0.037906137,-0.040613718,1.9415506507099405,85,0,-2.892,-2.256,-2.894,1.747,79038135.0,40708768.0,19.491265,2991468.5,1330335.0,-1950.814,10.8,-0.025270758
20240524,300308.SZ,中际旭创,172.0,165.39,166.11,168.39,-4.83341964,0.35802968,-0.034244186,-0.020988372,1.589989264732836,87,0,-1.03,-3.854,-2.371,-1.613,22164506.0,13940035.0,2.773053,2946496.5,1586109.0,-66.433,164.98,-0.040813953
